INSERT INTO screenings (film_id, room_id, start_time)
VALUES (9, 3, '2022-01-01 20:30:00'),
       (3, 2, '2022-01-03 18:00:00'),
       (8, 1, '2022-01-06 03:15:00'),
       (3, 1, '2022-01-12 12:00:00'),
       (9, 1, '2022-01-12 14:57:00'),
       (8, 2, '2022-01-19 20:15:00'),
       (8, 2, '2022-01-19 22:30:00'),
       (4, 2, '2022-01-22 16:30:00'),
       (3, 3, '2022-01-22 18:30:00'),
       (2, 2, '2022-01-22 18:30:00'),
       (6, 3, '2022-01-27 08:30:00'),
       (7, 1, '2022-01-27 10:05:00'),
       (11, 2, '2022-01-28 13:40:00'),
       (6, 2, '2022-01-28 14:00:00'),
       (3, 1, '2022-01-30 16:00:00'),
       (1, 2, '2022-02-03 13:25:00'),
       (10, 1, '2022-02-06 18:15:00'),
       (7, 1, '2022-02-11 14:10:00'),
       (9, 1, '2022-02-12 15:00:00'),
       (2, 3, '2022-02-14 12:30:00'),
       (6, 2, '2022-02-19 10:00:00'),
       (9, 2, '2022-02-19 14:40:00'),
       (1, 2, '2022-02-19 17:00:00'),
       (6, 1, '2022-02-20 20:20:00'),
       (6, 1, '2022-02-22 07:10:00'),
       (6, 2, '2022-02-22 17:10:00'),
       (3, 3, '2022-02-24 00:40:00'),
       (3, 3, '2022-02-25 20:50:00'),
       (4, 1, '2022-03-06 10:20:00'),
       (4, 1, '2022-03-06 23:15:00'),
       (2, 2, '2022-03-08 08:30:00'),
       (2, 3, '2022-03-09 08:25:00'),
       (1, 3, '2022-03-10 22:00:00'),
       (8, 2, '2022-03-11 19:00:00'),
       (4, 2, '2022-03-18 05:10:00'),
       (4, 3, '2022-03-20 05:00:00'),
       (6, 1, '2022-03-26 07:40:00'),
       (1, 2, '2022-04-01 03:00:00'),
       (4, 1, '2022-04-02 17:20:00'),
       (3, 2, '2022-04-12 10:00:00'),
       (9, 3, '2022-04-14 20:55:00'),
       (5, 3, '2022-04-17 02:30:00'),
       (4, 3, '2022-04-20 11:15:00'),
       (7, 1, '2022-04-25 07:10:00'),
       (1, 2, '2022-04-27 10:00:00'),
       (7, 1, '2022-04-29 19:40:00'),
       (2, 3, '2022-05-01 09:30:00'),
       (7, 2, '2022-05-01 18:30:00'),
       (5, 2, '2022-05-11 20:45:00'),
       (5, 1, '2022-05-14 12:30:00'),
       (8, 3, '2022-05-14 15:50:00'),
       (8, 2, '2022-05-15 08:10:00'),
       (10, 1, '2022-05-15 11:00:00'),
       (5, 3, '2022-05-16 01:40:00'),
       (6, 2, '2022-05-16 17:00:00'),
       (6, 2, '2022-05-18 21:15:00'),
       (1, 2, '2022-05-25 00:15:00'),
       (11, 1, '2022-06-07 07:00:00'),
       (1, 1, '2022-06-08 06:00:00'),
       (2, 2, '2022-06-14 12:50:00'),
       (2, 2, '2022-06-17 16:15:00'),
       (5, 2, '2022-06-18 03:00:00'),
       (10, 3, '2022-06-18 10:00:00'),
       (9, 2, '2022-06-18 22:00:00'),
       (8, 1, '2022-06-26 11:50:00'),
       (2, 2, '2022-06-28 07:20:00'),
       (2, 3, '2022-06-30 17:55:00'),
       (11, 2, '2022-07-02 21:25:00'),
       (10, 3, '2022-07-03 04:00:00'),
       (10, 1, '2022-07-06 04:20:00'),
       (3, 2, '2022-07-09 14:00:00'),
       (4, 3, '2022-07-12 19:50:00'),
       (5, 3, '2022-07-13 11:50:00'),
       (2, 2, '2022-07-29 21:30:00'),
       (11, 2, '2022-08-03 06:45:00'),
       (6, 1, '2022-08-05 07:30:00'),
       (6, 1, '2022-08-06 14:20:00'),
       (11, 1, '2022-08-08 02:50:00'),
       (9, 1, '2022-08-11 06:40:00'),
       (6, 2, '2022-08-12 18:30:00'),
       (9, 1, '2022-08-16 03:00:00'),
       (6, 2, '2022-08-20 23:45:00'),
       (4, 2, '2022-08-24 20:30:00'),
       (5, 1, '2022-08-26 22:40:00'),
       (7, 2, '2022-09-02 05:10:00'),
       (2, 3, '2022-09-02 22:00:00'),
       (9, 3, '2022-09-05 20:40:00'),
       (2, 3, '2022-09-07 22:40:00'),
       (4, 2, '2022-09-14 01:15:00'),
       (1, 3, '2022-09-17 13:00:00'),
       (4, 3, '2022-09-17 23:35:00'),
       (11, 3, '2022-09-18 13:15:00'),
       (6, 2, '2022-09-21 08:35:00'),
       (5, 1, '2022-09-30 04:15:00'),
       (4, 2, '2022-10-01 19:50:00'),
       (9, 2, '2022-10-09 19:50:00'),
       (5, 3, '2022-10-12 09:50:00'),
       (1, 3, '2022-10-13 15:35:00'),
       (6, 1, '2022-10-15 08:35:00'),
       (2, 3, '2022-10-18 11:30:00'),
       (1, 2, '2022-10-22 19:00:00'),
       (7, 2, '2022-10-25 17:10:00'),
       (2, 3, '2022-10-26 06:10:00'),
       (5, 2, '2022-10-27 03:30:00'),
       (3, 3, '2022-11-06 06:50:00'),
       (10, 3, '2022-11-17 01:40:00'),
       (7, 1, '2022-11-22 01:30:00'),
       (11, 2, '2022-11-25 16:20:00'),
       (3, 1, '2022-11-26 04:15:00'),
       (10, 1, '2022-11-26 11:30:00'),
       (5, 3, '2022-11-28 10:30:00'),
       (7, 2, '2022-11-29 08:50:00'),
       (8, 2, '2022-12-02 14:50:00'),
       (10, 2, '2022-12-08 04:50:00'),
       (7, 2, '2022-12-09 01:40:00'),
       (11, 3, '2022-12-10 20:15:00'),
       (2, 1, '2022-12-13 18:30:00'),
       (6, 1, '2022-12-15 06:40:00'),
       (11, 1, '2022-12-21 02:00:00'),
       (8, 2, '2022-12-22 03:20:00'),
       (6, 3, '2022-12-24 20:40:00'),
       (8, 2, '2022-12-26 15:10:00'),
       (3, 3, '2022-12-29 21:10:00'),
       (6, 2, '2023-01-01 17:30:00'),
       (6, 1, '2023-01-04 23:40:00'),
       (6, 1, '2023-01-06 02:20:00'),
       (10, 3, '2023-01-07 09:30:00'),
       (10, 1, '2023-01-08 15:20:00'),
       (3, 2, '2023-01-10 03:10:00'),
       (4, 1, '2023-01-16 10:50:00'),
       (11, 1, '2023-01-16 16:00:00'),
       (10, 2, '2023-01-22 17:40:00'),
       (11, 2, '2023-01-25 23:50:00'),
       (6, 3, '2023-01-27 12:50:00'),
       (3, 1, '2023-01-31 00:15:00'),
       (3, 1, '2023-01-31 14:00:00'),
       (2, 1, '2023-02-02 14:50:00'),
       (3, 1, '2023-02-08 03:10:00'),
       (8, 1, '2023-02-08 09:20:00'),
       (4, 3, '2023-02-11 07:50:00'),
       (1, 3, '2023-02-15 12:10:00'),
       (1, 2, '2023-02-16 16:40:00'),
       (2, 3, '2023-02-20 19:30:00'),
       (5, 2, '2023-02-25 17:45:00'),
